Mittauspisteen tunnus;Tuotteen tyyppi;Resoluutio;Yksikkötyyppi;Lukeman tyyppi;Alkuaika;Määrä;Laatu
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T00:00:00Z;0,640000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T00:15:00Z;0,540000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T00:30:00Z;0,260000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T00:45:00Z;0,090000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T01:00:00Z;1,080000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T01:15:00Z;1,170000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T01:30:00Z;1,080000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T01:45:00Z;1,110000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T02:00:00Z;0,500000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T02:15:00Z;0,230000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T02:30:00Z;0,110000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T02:45:00Z;0,130000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T03:00:00Z;0,120000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T03:15:00Z;0,090000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T03:30:00Z;0,230000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T03:45:00Z;0,380000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T04:00:00Z;0,350000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T04:15:00Z;0,350000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T04:30:00Z;0,460000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T04:45:00Z;0,750000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T05:00:00Z;0,430000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T05:15:00Z;0,150000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T05:30:00Z;0,550000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T05:45:00Z;0,310000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T06:00:00Z;0,200000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T06:15:00Z;0,450000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T06:30:00Z;0,380000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T06:45:00Z;0,380000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T07:00:00Z;0,410000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T07:15:00Z;0,180000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T07:30:00Z;0,460000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T07:45:00Z;0,430000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T08:00:00Z;0,880000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T08:15:00Z;0,620000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T08:30:00Z;0,400000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T08:45:00Z;0,170000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T09:00:00Z;0,190000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T09:15:00Z;0,270000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T09:30:00Z;0,190000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T09:45:00Z;0,220000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T10:00:00Z;0,090000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T10:15:00Z;0,090000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T10:30:00Z;0,100000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T10:45:00Z;0,090000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T11:00:00Z;0,100000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T11:15:00Z;0,230000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T11:30:00Z;0,360000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T11:45:00Z;0,360000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T12:00:00Z;0,370000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T12:15:00Z;0,410000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T12:30:00Z;0,460000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T12:45:00Z;0,140000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T13:00:00Z;0,100000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T13:15:00Z;0,140000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T13:30:00Z;0,200000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T13:45:00Z;0,180000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T14:00:00Z;0,160000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T14:15:00Z;0,160000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T14:30:00Z;0,140000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T14:45:00Z;0,130000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T15:00:00Z;0,130000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T15:15:00Z;0,350000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T15:30:00Z;0,560000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T15:45:00Z;0,440000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T16:00:00Z;0,450000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T16:15:00Z;0,420000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T16:30:00Z;0,180000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T16:45:00Z;0,160000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T17:00:00Z;0,170000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T17:15:00Z;0,180000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T17:30:00Z;0,270000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T17:45:00Z;0,470000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T18:00:00Z;0,500000;OK
123456789123456789;8716867000030;PT15M;kWh;BN01;2023-09-17T18:15:00Z;0,490000;OK
