Mittauspisteen tunnus;Tuotteen tyyppi;Resoluutio;Yksikkötyyppi;Alkuaika;Määrä;Laatu
;;PT1H;kWh;2022-09-30T21:00:00Z;0,64;OK
;;PT1H;kWh;2022-09-30T22:00:00Z;0,49;OK
;;PT1H;kWh;2022-09-30T23:00:00Z;0,61;OK
;;PT1H;kWh;2022-10-01T00:00:00Z;0,5;OK
;;PT1H;kWh;2022-10-01T01:00:00Z;6;OK
;;PT1H;kWh;2022-10-01T02:00:00Z;1,94;OK
;;PT1H;kWh;2022-10-01T03:00:00Z;0,59;OK
;;PT1H;kWh;2022-10-01T04:00:00Z;0,63;OK
;;PT1H;kWh;2022-10-01T05:00:00Z;0,52;OK
;;PT1H;kWh;2022-10-01T06:00:00Z;0,62;OK
;;PT1H;kWh;2022-10-01T07:00:00Z;0,5;OK
;;PT1H;kWh;2022-10-01T08:00:00Z;0,6;OK
;;PT1H;kWh;2022-10-01T09:00:00Z;0,51;OK
;;PT1H;kWh;2022-10-01T10:00:00Z;0,62;OK
;;PT1H;kWh;2022-10-01T11:00:00Z;0,63;OK
;;PT1H;kWh;2022-10-01T12:00:00Z;0,48;OK
;;PT1H;kWh;2022-10-01T13:00:00Z;0,62;OK
;;PT1H;kWh;2022-10-01T14:00:00Z;0,5;OK
;;PT1H;kWh;2022-10-01T15:00:00Z;0,64;OK
;;PT1H;kWh;2022-10-01T16:00:00Z;0,63;OK
;;PT1H;kWh;2022-10-01T17:00:00Z;0,59;OK
;;PT1H;kWh;2022-10-01T18:00:00Z;0,62;OK
;;PT1H;kWh;2022-10-01T19:00:00Z;0,51;OK
;;PT1H;kWh;2022-10-01T20:00:00Z;0,64;OK
;;PT1H;kWh;2022-10-01T21:00:00Z;1,01;OK
;;PT1H;kWh;2022-10-01T22:00:00Z;0,69;OK
;;PT1H;kWh;2022-10-01T23:00:00Z;0,48;OK
;;PT1H;kWh;2022-10-02T00:00:00Z;0,62;OK
;;PT1H;kWh;2022-10-02T01:00:00Z;0,5;OK
;;PT1H;kWh;2022-10-02T02:00:00Z;0,62;OK
;;PT1H;kWh;2022-10-02T03:00:00Z;0,48;OK
;;PT1H;kWh;2022-10-02T04:00:00Z;0,61;OK
;;PT1H;kWh;2022-10-02T05:00:00Z;0,56;OK
;;PT1H;kWh;2022-10-02T06:00:00Z;0,69;OK
;;PT1H;kWh;2022-10-02T07:00:00Z;0,62;OK
;;PT1H;kWh;2022-10-02T08:00:00Z;0,59;OK
;;PT1H;kWh;2022-10-02T09:00:00Z;0,61;OK
;;PT1H;kWh;2022-10-02T10:00:00Z;0,87;OK
;;PT1H;kWh;2022-10-02T11:00:00Z;0,69;OK
;;PT1H;kWh;2022-10-02T12:00:00Z;0,76;OK
;;PT1H;kWh;2022-10-02T13:00:00Z;0,79;OK
;;PT1H;kWh;2022-10-02T14:00:00Z;0,74;OK
;;PT1H;kWh;2022-10-02T15:00:00Z;0,73;OK
;;PT1H;kWh;2022-10-02T16:00:00Z;1,28;OK
;;PT1H;kWh;2022-10-02T17:00:00Z;0,86;OK
;;PT1H;kWh;2022-10-02T18:00:00Z;0,84;OK
;;PT1H;kWh;2022-10-02T19:00:00Z;0,27;OK
;;PT1H;kWh;2022-10-02T20:00:00Z;0,58;OK
;;PT1H;kWh;2022-10-02T21:00:00Z;0,7;OK
;;PT1H;kWh;2022-10-02T22:00:00Z;3,9;OK
;;PT1H;kWh;2022-10-02T23:00:00Z;2,68;OK
;;PT1H;kWh;2022-10-03T00:00:00Z;1,82;OK
;;PT1H;kWh;2022-10-03T01:00:00Z;0,6;OK
;;PT1H;kWh;2022-10-03T02:00:00Z;0,68;OK
;;PT1H;kWh;2022-10-03T03:00:00Z;1,6;OK
;;PT1H;kWh;2022-10-03T04:00:00Z;0,28;OK
;;PT1H;kWh;2022-10-03T05:00:00Z;0,17;OK
;;PT1H;kWh;2022-10-03T06:00:00Z;0,16;OK
;;PT1H;kWh;2022-10-03T07:00:00Z;0,31;OK
;;PT1H;kWh;2022-10-03T08:00:00Z;0,35;OK
;;PT1H;kWh;2022-10-03T09:00:00Z;0,4;OK
;;PT1H;kWh;2022-10-03T10:00:00Z;0,44;OK
;;PT1H;kWh;2022-10-03T11:00:00Z;0,38;OK
;;PT1H;kWh;2022-10-03T12:00:00Z;0,5;OK
;;PT1H;kWh;2022-10-03T13:00:00Z;0,49;OK
;;PT1H;kWh;2022-10-03T14:00:00Z;1,89;OK
;;PT1H;kWh;2022-10-03T15:00:00Z;1,06;OK
;;PT1H;kWh;2022-10-03T16:00:00Z;1,08;OK
;;PT1H;kWh;2022-10-03T17:00:00Z;1,01;OK
;;PT1H;kWh;2022-10-03T18:00:00Z;0,79;OK
;;PT1H;kWh;2022-10-03T19:00:00Z;0,61;OK
;;PT1H;kWh;2022-10-03T20:00:00Z;0,2;OK
;;PT1H;kWh;2022-10-03T21:00:00Z;0,67;OK
;;PT1H;kWh;2022-10-03T22:00:00Z;0,67;OK
;;PT1H;kWh;2022-10-03T23:00:00Z;1,63;OK
;;PT1H;kWh;2022-10-04T00:00:00Z;2,85;OK
;;PT1H;kWh;2022-10-04T01:00:00Z;1,74;OK
;;PT1H;kWh;2022-10-04T02:00:00Z;1,26;OK
;;PT1H;kWh;2022-10-04T03:00:00Z;0,3;OK
;;PT1H;kWh;2022-10-04T04:00:00Z;0,22;OK
;;PT1H;kWh;2022-10-04T05:00:00Z;0,22;OK
;;PT1H;kWh;2022-10-04T06:00:00Z;0,38;OK
;;PT1H;kWh;2022-10-04T07:00:00Z;0,45;OK
;;PT1H;kWh;2022-10-04T08:00:00Z;0,38;OK
;;PT1H;kWh;2022-10-04T09:00:00Z;0,44;OK
;;PT1H;kWh;2022-10-04T10:00:00Z;0,46;OK
;;PT1H;kWh;2022-10-04T11:00:00Z;0,34;OK
;;PT1H;kWh;2022-10-04T12:00:00Z;0,51;OK
;;PT1H;kWh;2022-10-04T13:00:00Z;0,69;OK
;;PT1H;kWh;2022-10-04T14:00:00Z;0,84;OK
;;PT1H;kWh;2022-10-04T15:00:00Z;1,08;OK
