Mittauspisteen tunnus;Tuotteen tyyppi;Resoluutio;Yksikkötyyppi;Alkuaika;Määrä;Laatu
0;8,71687E+12;PT1H;kWh;2022-07-24T21:00:00Z;0,82;OK
0;8,71687E+12;PT1H;kWh;2022-07-24T22:00:00Z;0,61;OK
0;8,71687E+12;PT1H;kWh;2022-07-24T23:00:00Z;0,96;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T00:00:00Z;0,62;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T01:00:00Z;0,61;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T02:00:00Z;0,31;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T03:00:00Z;0,54;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T04:00:00Z;0,46;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T05:00:00Z;0,24;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T06:00:00Z;0,68;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T07:00:00Z;0,99;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T08:00:00Z;0,83;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T09:00:00Z;0,57;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T10:00:00Z;0,96;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T11:00:00Z;1,29;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T12:00:00Z;0,97;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T13:00:00Z;1,54;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T14:00:00Z;2,44;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T15:00:00Z;0,68;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T16:00:00Z;0,46;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T17:00:00Z;0,41;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T18:00:00Z;0,34;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T19:00:00Z;0,48;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T20:00:00Z;0,51;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T21:00:00Z;0,65;OK
0;8,71687E+12;PT1H;kWh;2022-07-25T22:00:00Z;0,98;OK
