Mittauspisteen tunnus;Tuotteen tyyppi;Resoluutio;Yksikkötyyppi;Lukeman tyyppi;Alkuaika;Määrä;Laatu
;;PT15M;kWh;BN01;2023-08-31T21:00:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-08-31T21:15:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-08-31T21:30:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-08-31T21:45:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-08-31T22:00:00Z;0,220000;OK
;;PT15M;kWh;BN01;2023-08-31T22:15:00Z;0,410000;OK
;;PT15M;kWh;BN01;2023-08-31T22:30:00Z;0,720000;OK
;;PT15M;kWh;BN01;2023-08-31T22:45:00Z;0,140000;OK
;;PT15M;kWh;BN01;2023-08-31T23:00:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-08-31T23:15:00Z;2,770000;OK
;;PT15M;kWh;BN01;2023-08-31T23:30:00Z;2,840000;OK
;;PT15M;kWh;BN01;2023-08-31T23:45:00Z;2,840000;OK
;;PT15M;kWh;BN01;2023-09-01T00:00:00Z;3,240000;OK
;;PT15M;kWh;BN01;2023-09-01T00:15:00Z;3,000000;OK
;;PT15M;kWh;BN01;2023-09-01T00:30:00Z;2,840000;OK
;;PT15M;kWh;BN01;2023-09-01T00:45:00Z;2,840000;OK
;;PT15M;kWh;BN01;2023-09-01T01:00:00Z;2,840000;OK
;;PT15M;kWh;BN01;2023-09-01T01:15:00Z;2,840000;OK
;;PT15M;kWh;BN01;2023-09-01T01:30:00Z;2,850000;OK
;;PT15M;kWh;BN01;2023-09-01T01:45:00Z;0,780000;OK
;;PT15M;kWh;BN01;2023-09-01T02:00:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T02:15:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T02:30:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T02:45:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T03:00:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T03:15:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T03:30:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T03:45:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T04:00:00Z;0,040000;OK
;;PT15M;kWh;BN01;2023-09-01T04:15:00Z;0,020000;OK
;;PT15M;kWh;BN01;2023-09-01T04:30:00Z;0,170000;OK
;;PT15M;kWh;BN01;2023-09-01T04:45:00Z;0,170000;OK
;;PT15M;kWh;BN01;2023-09-01T05:00:00Z;0,140000;OK
;;PT15M;kWh;BN01;2023-09-01T05:15:00Z;0,190000;OK
;;PT15M;kWh;BN01;2023-09-01T05:30:00Z;0,250000;OK
;;PT15M;kWh;BN01;2023-09-01T05:45:00Z;0,120000;OK
;;PT15M;kWh;BN01;2023-09-01T06:00:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T06:15:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T06:30:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T06:45:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T07:00:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T07:15:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T07:30:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T07:45:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T08:00:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T08:15:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T08:30:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T08:45:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T09:00:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T09:15:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T09:30:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T09:45:00Z;0,040000;OK
;;PT15M;kWh;BN01;2023-09-01T10:00:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T10:15:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T10:30:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T10:45:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T11:00:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T11:15:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T11:30:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T11:45:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T12:00:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T12:15:00Z;0,020000;OK
;;PT15M;kWh;BN01;2023-09-01T12:30:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T12:45:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T13:00:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T13:15:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T13:30:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T13:45:00Z;0,010000;OK
;;PT15M;kWh;BN01;2023-09-01T14:00:00Z;0,070000;OK
;;PT15M;kWh;BN01;2023-09-01T14:15:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T14:30:00Z;0,060000;OK
;;PT15M;kWh;BN01;2023-09-01T14:45:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T15:00:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T15:15:00Z;0,000000;OK
;;PT15M;kWh;BN01;2023-09-01T15:30:00Z;0,010000;OK
;;PT15M;kWh;BN01;2023-09-01T15:45:00Z;0,220000;OK
;;PT15M;kWh;BN01;2023-09-01T16:00:00Z;0,430000;OK
;;PT15M;kWh;BN01;2023-09-01T16:15:00Z;0,330000;OK
