"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"torstai 1.9.2022 00:00";"0,37";"0,00";"7,20"
"torstai 1.9.2022 01:00";"0,21";"0,00";"6,80"
"torstai 1.9.2022 02:00";"0,32";"0,00";"6,50"
"torstai 1.9.2022 03:00";"0,45";"0,00";"6,40"
"torstai 1.9.2022 04:00";"0,53";"0,00";"6,20"
"torstai 1.9.2022 05:00";"0,59";"0,00";"6,00"
"torstai 1.9.2022 06:00";"0,75";"0,00";"5,70"
"torstai 1.9.2022 07:00";"0,91";"0,00";"6,00"
"torstai 1.9.2022 08:00";"0,37";"0,00";"7,00"
"torstai 1.9.2022 09:00";"0,69";"0,00";"8,40"
"torstai 1.9.2022 10:00";"0,00";"1,05";"9,90"
"torstai 1.9.2022 11:00";"0,00";"1,27";"11,20"
"torstai 1.9.2022 12:00";"0,00";"2,25";"12,40"
"torstai 1.9.2022 13:00";"0,00";"2,08";"13,20"
"torstai 1.9.2022 14:00";"0,00";"1,52";"13,80"
"torstai 1.9.2022 15:00";"0,00";"1,24";"14,30"
"torstai 1.9.2022 16:00";"0,00";"0,89";"14,70"
"torstai 1.9.2022 17:00";"0,03";"0,00";"15,80"
"torstai 1.9.2022 18:00";"0,09";"0,00";"14,30"
"torstai 1.9.2022 19:00";"0,43";"0,00";"11,60"
"torstai 1.9.2022 20:00";"0,77";"0,00";"9,60"
"torstai 1.9.2022 21:00";"0,35";"0,00";"8,80"
"torstai 1.9.2022 22:00";"0,32";"0,00";"8,90"
"torstai 1.9.2022 23:00";"0,22";"0,00";"9,20"
"perjantai 2.9.2022 00:00";"0,21";"0,00";"9,30"
"perjantai 2.9.2022 01:00";"0,19";"0,00";"8,70"
"perjantai 2.9.2022 02:00";"0,39";"0,00";"7,40"
"perjantai 2.9.2022 03:00";"0,71";"0,00";"6,70"
"perjantai 2.9.2022 04:00";"0,71";"0,00";"5,90"
"perjantai 2.9.2022 05:00";"0,71";"0,00";"5,30"
"perjantai 2.9.2022 06:00";"0,84";"0,00";"5,00"
"perjantai 2.9.2022 07:00";"0,85";"0,00";"5,30"
"perjantai 2.9.2022 08:00";"0,33";"0,00";"6,20"
"perjantai 2.9.2022 09:00";"0,00";"0,24";"7,50"
"perjantai 2.9.2022 10:00";"0,00";"0,23";"9,00"
"perjantai 2.9.2022 11:00";"0,00";"1,40";"10,50"
"perjantai 2.9.2022 12:00";"0,00";"2,16";"11,70"
"perjantai 2.9.2022 13:00";"0,00";"1,45";"13,10"
"perjantai 2.9.2022 14:00";"0,00";"1,50";"13,70"
"perjantai 2.9.2022 15:00";"0,00";"1,57";"14,00"
"perjantai 2.9.2022 16:00";"0,00";"0,51";"13,90"
"perjantai 2.9.2022 17:00";"0,04";"0,00";"14,70"
"perjantai 2.9.2022 18:00";"4,74";"0,00";"13,80"
"perjantai 2.9.2022 19:00";"4,21";"0,00";"10,20"
"perjantai 2.9.2022 20:00";"1,46";"0,00";"9,40"
"perjantai 2.9.2022 21:00";"0,40";"0,00";"7,80"
"perjantai 2.9.2022 22:00";"0,25";"0,00";"7,10"
"perjantai 2.9.2022 23:00";"0,22";"0,00";"6,60"
"lauantai 3.9.2022 00:00";"0,78";"0,00";"6,20"
"lauantai 3.9.2022 01:00";"0,82";"0,00";"6,00"
"lauantai 3.9.2022 02:00";"0,21";"0,00";"6,00"
"lauantai 3.9.2022 03:00";"0,40";"0,00";"5,30"
"lauantai 3.9.2022 04:00";"0,53";"0,00";"4,70"
"lauantai 3.9.2022 05:00";"0,61";"0,00";"4,20"
"lauantai 3.9.2022 06:00";"0,74";"0,00";"3,90"
"lauantai 3.9.2022 07:00";"1,00";"0,00";"4,00"
"lauantai 3.9.2022 08:00";"0,57";"0,00";"5,10"
"lauantai 3.9.2022 09:00";"0,23";"0,00";"6,50"
"lauantai 3.9.2022 10:00";"0,00";"0,63";"8,30"
"lauantai 3.9.2022 11:00";"0,00";"0,92";"10,30"
"lauantai 3.9.2022 12:00";"0,00";"0,75";"11,30"
"lauantai 3.9.2022 13:00";"0,00";"1,22";"12,20"
"lauantai 3.9.2022 14:00";"0,00";"0,94";"13,00"
"lauantai 3.9.2022 15:00";"0,00";"0,16";"13,10"
"lauantai 3.9.2022 16:00";"0,00";"0,59";"13,30"
"lauantai 3.9.2022 17:00";"0,00";"0,21";"16,30"
"lauantai 3.9.2022 18:00";"0,04";"0,00";"13,80"
"lauantai 3.9.2022 19:00";"0,80";"0,00";"11,70"
"lauantai 3.9.2022 20:00";"0,41";"0,00";"9,60"
"lauantai 3.9.2022 21:00";"0,32";"0,00";"8,20"
"lauantai 3.9.2022 22:00";"0,30";"0,00";"7,70"
"lauantai 3.9.2022 23:00";"0,24";"0,00";"7,10"
"sunnuntai 4.9.2022 00:00";"0,52";"0,00";"6,50"
"sunnuntai 4.9.2022 01:00";"0,60";"0,00";"6,20"
"sunnuntai 4.9.2022 02:00";"0,72";"0,00";"5,80"
"sunnuntai 4.9.2022 03:00";"0,72";"0,00";"5,30"
"sunnuntai 4.9.2022 04:00";"0,72";"0,00";"4,80"
"sunnuntai 4.9.2022 05:00";"0,71";"0,00";"4,60"
"sunnuntai 4.9.2022 06:00";"0,73";"0,00";"4,30"
"sunnuntai 4.9.2022 07:00";"0,89";"0,00";"5,00"
"sunnuntai 4.9.2022 08:00";"0,62";"0,00";"6,50"
"sunnuntai 4.9.2022 09:00";"0,00";"0,06";"7,70"
"sunnuntai 4.9.2022 10:00";"0,00";"0,96";"8,90"
"sunnuntai 4.9.2022 11:00";"0,00";"1,04";"10,40"
"sunnuntai 4.9.2022 12:00";"0,00";"0,60";"12,20"
"sunnuntai 4.9.2022 13:00";"0,00";"0,58";"12,80"
"sunnuntai 4.9.2022 14:00";"0,00";"0,68";"13,40"
"sunnuntai 4.9.2022 15:00";"0,00";"0,43";"13,70"
"sunnuntai 4.9.2022 16:00";"0,26";"0,00";"14,10"
"sunnuntai 4.9.2022 17:00";"0,00";"0,02";"15,50"
"sunnuntai 4.9.2022 18:00";"0,25";"0,00";"13,90"
"sunnuntai 4.9.2022 19:00";"0,79";"0,00";"11,60"
