"DateTime","Hinta"
"2024-04-18 00:00:00",5.97
"2024-04-18 01:00:00",6.18
"2024-04-18 02:00:00",6.24
"2024-04-18 03:00:00",6.27
"2024-04-18 04:00:00",6.3
"2024-04-18 05:00:00",6.38
"2024-04-18 06:00:00",9.35
"2024-04-18 07:00:00",12.19
"2024-04-18 08:00:00",15.58
"2024-04-18 09:00:00",13.12
"2024-04-18 10:00:00",10.11
"2024-04-18 11:00:00",9.02
"2024-04-18 12:00:00",8.39
"2024-04-18 13:00:00",8.06
"2024-04-18 14:00:00",7.72
"2024-04-18 15:00:00",7.3
"2024-04-18 16:00:00",7.07
"2024-04-18 17:00:00",7.2
"2024-04-18 18:00:00",8.13
"2024-04-18 19:00:00",9.4
"2024-04-18 20:00:00",12.52
"2024-04-18 21:00:00",12.88
"2024-04-18 22:00:00",10.59
"2024-04-18 23:00:00",6.4
"2024-04-19 00:00:00",6.11
"2024-04-19 01:00:00",4.92
"2024-04-19 02:00:00",5.21
"2024-04-19 03:00:00",5.05
"2024-04-19 04:00:00",4.83
"2024-04-19 05:00:00",4.8
"2024-04-19 06:00:00",4.91
"2024-04-19 07:00:00",6.01
"2024-04-19 08:00:00",10.94
"2024-04-19 09:00:00",9.51
"2024-04-19 10:00:00",8.13
"2024-04-19 11:00:00",6.13
"2024-04-19 12:00:00",5.73
"2024-04-19 13:00:00",5.22
"2024-04-19 14:00:00",4.87
"2024-04-19 15:00:00",4.64
"2024-04-19 16:00:00",4.73
"2024-04-19 17:00:00",5.09
"2024-04-19 18:00:00",5.7
"2024-04-19 19:00:00",6
"2024-04-19 20:00:00",5.94
"2024-04-19 21:00:00",5.22
"2024-04-19 22:00:00",4.97
"2024-04-19 23:00:00",4.56
"2024-04-20 00:00:00",4.21
"2024-04-20 01:00:00",3.99
"2024-04-20 02:00:00",3.87
"2024-04-20 03:00:00",3.75
"2024-04-20 04:00:00",3.56
"2024-04-20 05:00:00",3.21
"2024-04-20 06:00:00",2.53
"2024-04-20 07:00:00",2.55
"2024-04-20 08:00:00",3.58
"2024-04-20 09:00:00",3.97
"2024-04-20 10:00:00",4.13
"2024-04-20 11:00:00",4.21
"2024-04-20 12:00:00",3.84
"2024-04-20 13:00:00",2.9
"2024-04-20 14:00:00",1.23
"2024-04-20 15:00:00",1.06
"2024-04-20 16:00:00",1.83
"2024-04-20 17:00:00",3.74
"2024-04-20 18:00:00",4.32
"2024-04-20 19:00:00",4.73
"2024-04-20 20:00:00",6.24
"2024-04-20 21:00:00",6.32
"2024-04-20 22:00:00",6.33
"2024-04-20 23:00:00",6.29
"2024-04-21 00:00:00",4.84
"2024-04-21 01:00:00",5.47
"2024-04-21 02:00:00",5.68
"2024-04-21 03:00:00",5.81
"2024-04-21 04:00:00",5.97
"2024-04-21 05:00:00",6.09
"2024-04-21 06:00:00",6.15
"2024-04-21 07:00:00",6.1
"2024-04-21 08:00:00",6
"2024-04-21 09:00:00",6.09
"2024-04-21 10:00:00",5.47
"2024-04-21 11:00:00",4.33
"2024-04-21 12:00:00",4.25
"2024-04-21 13:00:00",4.39
"2024-04-21 14:00:00",4.21
"2024-04-21 15:00:00",4.15
"2024-04-21 16:00:00",4.19
